model, name_of_mof|||mof_formula, name_of_mof|||guest_species, name_of_mof|||applications, name_of_mof|||mof_description,
llamat3-chat,, 0.195, 0.318, 0.204,
llamat3,0.0, 0.162, 0.424, 0.324,
llama3-chat,0.0, 0.286, 0.425, 0.4,
llama3,, 0.292, 0.383, 0.286,
llamat2-chat,0.0, 0.667, 0.407, 0.321,
llamat2,, 0.621, 0.461, 0.295,
llama2-chat,, 0.298, 0.401, 0.392,
llama2,0.571, 0.261, 0.495, 0.302,
Claude-3.5-Sonnet,0.1, 0.273, 0.16, 0.016,
Claude-3-Opus,0.043, 0.276, 0.111, 0.009,
Claude-3-Haiku,0.348, 0.179, 0.094, 0.011,
Gemini-1.5-pro,0.308, 0.343, 0.128, 0.019,
Gemini-1.5-flash,0.083, 0.215, 0.138, 0.005,
Gemini-1.5-Flash-8b,0.071, 0.291, 0.06, 0.001,
GPT-4o,0.211, 0.293, 0.215, 0.012,
GPT-4,0.04, 0.181, 0.163, 0.008,
